"split_id","peak_estimate"
"s03011_A",0.115
"s03011_B",0.12
"s03012_A",0.11
"s03012_B",0.12
"s03013_A",0.115
"s03013_B",0.115
"s03014_A",0.115
"s03014_B",0.115
"s03015_A",0.115
"s03015_B",0.115
"s03016_A",0.12
"s03016_B",0.115
"s03017_A",0.12
"s03017_B",0.12
"s03018_A",0.115
"s03018_B",0.12
"s03019_A",0.12
"s03019_B",0.115
"s03020_A",0.115
"s03020_B",0.12
"s03021_A",0.115
"s03021_B",0.12
"s03022_A",0.11
"s03022_B",0.12
"s03023_A",0.125
"s03023_B",0.115
"s03024_A",0.115
"s03024_B",0.12
"s03025_A",0.115
"s03025_B",0.12
"s03026_A",0.12
"s03026_B",0.115
"s03027_A",0.12
"s03027_B",0.11
"s03028_A",0.12
"s03028_B",0.115
"s03029_A",0.12
"s03029_B",0.115
"s03030_A",0.12
"s03030_B",0.12
"s03031_A",0.115
"s03031_B",0.115
"s03032_A",0.12
"s03032_B",0.115
"s03033_A",0.12
"s03033_B",0.115
"s03034_A",0.115
"s03034_B",0.115
"s03035_A",0.12
"s03035_B",0.115
"s03036_A",0.12
"s03036_B",0.115
"s03037_A",0.12
"s03037_B",0.11
"s03038_A",0.115
"s03038_B",0.115
"s03039_A",0.12
"s03039_B",0.115
"s03040_A",0.115
"s03040_B",0.115
"s03041_A",0.115
"s03041_B",0.12
"s03042_A",0.12
"s03042_B",0.115
"s03043_A",0.115
"s03043_B",0.12
"s03044_A",0.12
"s03044_B",0.115
"s03045_A",0.115
"s03045_B",0.12
"s03046_A",0.115
"s03046_B",0.115
"s03047_A",0.115
"s03047_B",0.12
"s03048_A",0.115
"s03048_B",0.115
"s03049_A",0.115
"s03049_B",0.12
"s03050_A",0.115
"s03050_B",0.115
"s03051_A",0.11
"s03051_B",0.125
"s03052_A",0.115
"s03052_B",0.115
"s03053_A",0.125
"s03053_B",0.115
"s03054_A",0.11
"s03054_B",0.12
"s03055_A",0.12
"s03055_B",0.115
"s03056_A",0.12
"s03056_B",0.115
"s03057_A",0.12
"s03057_B",0.115
"s03058_A",0.125
"s03058_B",0.11
"s03059_A",0.115
"s03059_B",0.12
"s03060_A",0.12
"s03060_B",0.115
"s03061_A",0.115
"s03061_B",0.12
"s03062_A",0.115
"s03062_B",0.115
"s03063_A",0.12
"s03063_B",0.115
"s03064_A",0.12
"s03064_B",0.11
"s03065_A",0.12
"s03065_B",0.115
"s03066_A",0.115
"s03066_B",0.115
"s03067_A",0.115
"s03067_B",0.12
"s03068_A",0.12
"s03068_B",0.115
"s03069_A",0.12
"s03069_B",0.12
"s03070_A",0.115
"s03070_B",0.12
"s03071_A",0.115
"s03071_B",0.115
"s03072_A",0.12
"s03072_B",0.115
"s03073_A",0.115
"s03073_B",0.12
"s03074_A",0.115
"s03074_B",0.12
"s03075_A",0.12
"s03075_B",0.115
"s03076_A",0.115
"s03076_B",0.115
"s03077_A",0.12
"s03077_B",0.115
"s03078_A",0.115
"s03078_B",0.12
"s03079_A",0.115
"s03079_B",0.12
"s03080_A",0.115
"s03080_B",0.115
"s03081_A",0.115
"s03081_B",0.12
"s03082_A",0.115
"s03082_B",0.115
"s03083_A",0.115
"s03083_B",0.12
"s03084_A",0.115
"s03084_B",0.115
"s03085_A",0.115
"s03085_B",0.115
"s03086_A",0.115
"s03086_B",0.115
"s03087_A",0.12
"s03087_B",0.115
"s03088_A",0.115
"s03088_B",0.115
"s03089_A",0.115
"s03089_B",0.115
"s03090_A",0.12
"s03090_B",0.115
"s03091_A",0.115
"s03091_B",0.115
"s03092_A",0.12
"s03092_B",0.115
"s03093_A",0.115
"s03093_B",0.12
"s03094_A",0.11
"s03094_B",0.12
"s03095_A",0.115
"s03095_B",0.12
"s03096_A",0.11
"s03096_B",0.12
"s03097_A",0.11
"s03097_B",0.12
"s03098_A",0.12
"s03098_B",0.115
"s03099_A",0.115
"s03099_B",0.12
"s03100_A",0.12
"s03100_B",0.115
"s03101_A",0.115
"s03101_B",0.12
"s03102_A",0.115
"s03102_B",0.12
"s03103_A",0.115
"s03103_B",0.115
"s03104_A",0.115
"s03104_B",0.115
"s03105_A",0.115
"s03105_B",0.12
"s03106_A",0.115
"s03106_B",0.115
"s03107_A",0.115
"s03107_B",0.12
"s03108_A",0.115
"s03108_B",0.115
"s03109_A",0.115
"s03109_B",0.125
"s03110_A",0.115
"s03110_B",0.12
"s03111_A",0.12
"s03111_B",0.115
"s03112_A",0.12
"s03112_B",0.115
"s03113_A",0.115
"s03113_B",0.12
"s03114_A",0.12
"s03114_B",0.115
"s03115_A",0.12
"s03115_B",0.115
"s03116_A",0.115
"s03116_B",0.12
"s03117_A",0.115
"s03117_B",0.12
"s03118_A",0.115
"s03118_B",0.12
"s03119_A",0.12
"s03119_B",0.11
"s03120_A",0.115
"s03120_B",0.12
"s03121_A",0.11
"s03121_B",0.115
"s03122_A",0.115
"s03122_B",0.115
"s03123_A",0.115
"s03123_B",0.115
"s03124_A",0.115
"s03124_B",0.12
"s03125_A",0.11
"s03125_B",0.12
"s03126_A",0.12
"s03126_B",0.115
"s03127_A",0.12
"s03127_B",0.115
"s03128_A",0.115
"s03128_B",0.12
"s03129_A",0.115
"s03129_B",0.115
"s03130_A",0.115
"s03130_B",0.115
"s03131_A",0.115
"s03131_B",0.12
"s03132_A",0.115
"s03132_B",0.115
"s03133_A",0.12
"s03133_B",0.115
"s03134_A",0.115
"s03134_B",0.115
"s03135_A",0.115
"s03135_B",0.115
"s03136_A",0.11
"s03136_B",0.12
"s03137_A",0.11
"s03137_B",0.12
"s03138_A",0.115
"s03138_B",0.12
"s03139_A",0.115
"s03139_B",0.12
"s03140_A",0.115
"s03140_B",0.115
"s03141_A",0.115
"s03141_B",0.115
"s03142_A",0.115
"s03142_B",0.12
"s03143_A",0.12
"s03143_B",0.11
"s03144_A",0.12
"s03144_B",0.12
"s03145_A",0.115
"s03145_B",0.115
"s03146_A",0.115
"s03146_B",0.12
"s03147_A",0.115
"s03147_B",0.12
"s03148_A",0.115
"s03148_B",0.12
"s03149_A",0.115
"s03149_B",0.12
"s03150_A",0.115
"s03150_B",0.12
"s03151_A",0.12
"s03151_B",0.115
"s03152_A",0.115
"s03152_B",0.12
"s03153_A",0.115
"s03153_B",0.12
"s03154_A",0.125
"s03154_B",0.11
"s03155_A",0.12
"s03155_B",0.11
"s03156_A",0.115
"s03156_B",0.115
"s03157_A",0.12
"s03157_B",0.115
"s03158_A",0.115
"s03158_B",0.12
"s03159_A",0.12
"s03159_B",0.115
"s03160_A",0.12
"s03160_B",0.115
"s03161_A",0.115
"s03161_B",0.12
"s03162_A",0.12
"s03162_B",0.115
"s03163_A",0.12
"s03163_B",0.115
"s03164_A",0.115
"s03164_B",0.12
"s03165_A",0.115
"s03165_B",0.115
"s03166_A",0.115
"s03166_B",0.115
"s03167_A",0.12
"s03167_B",0.115
"s03168_A",0.115
"s03168_B",0.12
"s03169_A",0.12
"s03169_B",0.115
"s03170_A",0.115
"s03170_B",0.115
"s03171_A",0.115
"s03171_B",0.115
"s03172_A",0.115
"s03172_B",0.115
"s03173_A",0.12
"s03173_B",0.11
"s03174_A",0.115
"s03174_B",0.115
"s03175_A",0.12
"s03175_B",0.115
"s03176_A",0.115
"s03176_B",0.12
"s03177_A",0.115
"s03177_B",0.12
"s03178_A",0.115
"s03178_B",0.12
"s03179_A",0.12
"s03179_B",0.115
"s03180_A",0.12
"s03180_B",0.115
"s03181_A",0.12
"s03181_B",0.115
"s03182_A",0.115
"s03182_B",0.12
"s03183_A",0.115
"s03183_B",0.12
"s03184_A",0.12
"s03184_B",0.115
"s03185_A",0.115
"s03185_B",0.115
"s03186_A",0.115
"s03186_B",0.12
"s03187_A",0.12
"s03187_B",0.115
"s03188_A",0.12
"s03188_B",0.12
"s03189_A",0.12
"s03189_B",0.12
"s03190_A",0.12
"s03190_B",0.115
"s03191_A",0.115
"s03191_B",0.12
"s03192_A",0.12
"s03192_B",0.115
"s03193_A",0.12
"s03193_B",0.115
"s03194_A",0.115
"s03194_B",0.12
"s03195_A",0.12
"s03195_B",0.115
"s03196_A",0.12
"s03196_B",0.12
"s03197_A",0.12
"s03197_B",0.11
"s03198_A",0.115
"s03198_B",0.12
"s03199_A",0.12
"s03199_B",0.115
"s03200_A",0.12
"s03200_B",0.115
"s03201_A",0.115
"s03201_B",0.11
"s03202_A",0.115
"s03202_B",0.12
"s03203_A",0.115
"s03203_B",0.12
"s03204_A",0.115
"s03204_B",0.115
"s03205_A",0.115
"s03205_B",0.12
"s03206_A",0.12
"s03206_B",0.115
"s03207_A",0.12
"s03207_B",0.11
"s03208_A",0.115
"s03208_B",0.12
"s03209_A",0.115
"s03209_B",0.12
"s03210_A",0.115
"s03210_B",0.125
"s03211_A",0.115
"s03211_B",0.12
"s03212_A",0.12
"s03212_B",0.115
"s03213_A",0.12
"s03213_B",0.12
"s03214_A",0.115
"s03214_B",0.115
"s03215_A",0.12
"s03215_B",0.11
"s03216_A",0.12
"s03216_B",0.115
"s03217_A",0.115
"s03217_B",0.115
"s03218_A",0.12
"s03218_B",0.115
"s03219_A",0.12
"s03219_B",0.115
"s03220_A",0.12
"s03220_B",0.115
"s03221_A",0.115
"s03221_B",0.115
"s03222_A",0.115
"s03222_B",0.12
"s03223_A",0.115
"s03223_B",0.12
"s03224_A",0.115
"s03224_B",0.115
"s03225_A",0.115
"s03225_B",0.115
"s03226_A",0.115
"s03226_B",0.115
"s03227_A",0.115
"s03227_B",0.12
"s03228_A",0.12
"s03228_B",0.115
"s03229_A",0.115
"s03229_B",0.12
"s03230_A",0.115
"s03230_B",0.12
"s03231_A",0.115
"s03231_B",0.115
"s03232_A",0.12
"s03232_B",0.115
"s03233_A",0.115
"s03233_B",0.12
"s03234_A",0.12
"s03234_B",0.115
"s03235_A",0.12
"s03235_B",0.115
"s03236_A",0.115
"s03236_B",0.115
"s03237_A",0.12
"s03237_B",0.115
"s03238_A",0.11
"s03238_B",0.12
"s03239_A",0.115
"s03239_B",0.115
"s03240_A",0.12
"s03240_B",0.115
"s03241_A",0.12
"s03241_B",0.12
"s03242_A",0.12
"s03242_B",0.115
"s03243_A",0.115
"s03243_B",0.12
"s03244_A",0.115
"s03244_B",0.12
"s03245_A",0.115
"s03245_B",0.12
"s03246_A",0.115
"s03246_B",0.115
"s03247_A",0.12
"s03247_B",0.115
"s03248_A",0.115
"s03248_B",0.115
"s03249_A",0.115
"s03249_B",0.115
"s03250_A",0.115
"s03250_B",0.12
"s03251_A",0.12
"s03251_B",0.115
"s03252_A",0.115
"s03252_B",0.115
"s03253_A",0.115
"s03253_B",0.12
"s03254_A",0.12
"s03254_B",0.115
"s03255_A",0.12
"s03255_B",0.12
"s03256_A",0.115
"s03256_B",0.12
"s03257_A",0.115
"s03257_B",0.12
"s03258_A",0.115
"s03258_B",0.115
"s03259_A",0.12
"s03259_B",0.11
"s03260_A",0.115
"s03260_B",0.12
"s03261_A",0.12
"s03261_B",0.115
"s03262_A",0.115
"s03262_B",0.12
"s03263_A",0.115
"s03263_B",0.12
"s03264_A",0.12
"s03264_B",0.115
"s03265_A",0.115
"s03265_B",0.12
"s03266_A",0.115
"s03266_B",0.12
"s03267_A",0.12
"s03267_B",0.115
"s03268_A",0.115
"s03268_B",0.12
"s03269_A",0.115
"s03269_B",0.12
"s03270_A",0.12
"s03270_B",0.11
"s03271_A",0.115
"s03271_B",0.115
"s03272_A",0.12
"s03272_B",0.115
"s03273_A",0.115
"s03273_B",0.115
"s03274_A",0.11
"s03274_B",0.12
"s03275_A",0.12
"s03275_B",0.115
"s03276_A",0.12
"s03276_B",0.115
"s03277_A",0.12
"s03277_B",0.115
"s03278_A",0.12
"s03278_B",0.115
"s03279_A",0.12
"s03279_B",0.115
"s03280_A",0.12
"s03280_B",0.11
"s03281_A",0.115
"s03281_B",0.12
"s03282_A",0.12
"s03282_B",0.12
"s03283_A",0.115
"s03283_B",0.115
"s03284_A",0.12
"s03284_B",0.115
"s03285_A",0.12
"s03285_B",0.115
"s03286_A",0.115
"s03286_B",0.12
"s03287_A",0.12
"s03287_B",0.12
"s03288_A",0.12
"s03288_B",0.115
"s03289_A",0.12
"s03289_B",0.115
"s03290_A",0.115
"s03290_B",0.115
"s03291_A",0.12
"s03291_B",0.12
"s03292_A",0.115
"s03292_B",0.115
"s03293_A",0.12
"s03293_B",0.115
"s03294_A",0.12
"s03294_B",0.115
"s03295_A",0.12
"s03295_B",0.115
"s03296_A",0.115
"s03296_B",0.115
"s03297_A",0.115
"s03297_B",0.12
"s03298_A",0.12
"s03298_B",0.12
"s03299_A",0.115
"s03299_B",0.115
"s03300_A",0.12
"s03300_B",0.115
"s03301_A",0.115
"s03301_B",0.115
"s03302_A",0.12
"s03302_B",0.115
"s03303_A",0.115
"s03303_B",0.12
"s03304_A",0.11
"s03304_B",0.12
"s03305_A",0.115
"s03305_B",0.115
"s03306_A",0.115
"s03306_B",0.115
"s03307_A",0.115
"s03307_B",0.12
"s03308_A",0.115
"s03308_B",0.115
"s03309_A",0.115
"s03309_B",0.12
"s03310_A",0.115
"s03310_B",0.115
"s03311_A",0.115
"s03311_B",0.12
"s03312_A",0.115
"s03312_B",0.115
"s03313_A",0.115
"s03313_B",0.115
"s03314_A",0.115
"s03314_B",0.115
"s03315_A",0.115
"s03315_B",0.12
"s03316_A",0.115
"s03316_B",0.115
"s03317_A",0.115
"s03317_B",0.115
"s03318_A",0.115
"s03318_B",0.12
"s03319_A",0.12
"s03319_B",0.115
"s03320_A",0.12
"s03320_B",0.115
"s03321_A",0.115
"s03321_B",0.12
"s03322_A",0.115
"s03322_B",0.12
"s03323_A",0.115
"s03323_B",0.12
"s03324_A",0.11
"s03324_B",0.125
"s03325_A",0.115
"s03325_B",0.115
"s03326_A",0.115
"s03326_B",0.12
"s03327_A",0.115
"s03327_B",0.115
"s03328_A",0.12
"s03328_B",0.115
"s03329_A",0.12
"s03329_B",0.115
"s03330_A",0.115
"s03330_B",0.12
"s03331_A",0.115
"s03331_B",0.115
"s03332_A",0.12
"s03332_B",0.115
"s03333_A",0.115
"s03333_B",0.12
"s03334_A",0.115
"s03334_B",0.12
"s03335_A",0.12
"s03335_B",0.115
"s03336_A",0.115
"s03336_B",0.115
"s03337_A",0.12
"s03337_B",0.115
"s03338_A",0.115
"s03338_B",0.115
"s03339_A",0.115
"s03339_B",0.115
"s03340_A",0.115
"s03340_B",0.12
"s03341_A",0.12
"s03341_B",0.115
"s03342_A",0.115
"s03342_B",0.12
"s03343_A",0.12
"s03343_B",0.115
"s03344_A",0.115
"s03344_B",0.115
"s03345_A",0.12
"s03345_B",0.12
"s03346_A",0.12
"s03346_B",0.115
"s03347_A",0.115
"s03347_B",0.115
"s03348_A",0.115
"s03348_B",0.115
"s03349_A",0.12
"s03349_B",0.12
"s03350_A",0.115
"s03350_B",0.115
"s03351_A",0.115
"s03351_B",0.115
"s03352_A",0.12
"s03352_B",0.115
"s03353_A",0.12
"s03353_B",0.115
"s03354_A",0.115
"s03354_B",0.12
"s03355_A",0.115
"s03355_B",0.115
"s03356_A",0.12
"s03356_B",0.115
"s03357_A",0.12
"s03357_B",0.115
"s03358_A",0.12
"s03358_B",0.115
"s03359_A",0.115
"s03359_B",0.115
"s03360_A",0.12
"s03360_B",0.115
"s03361_A",0.12
"s03361_B",0.115
"s03362_A",0.115
"s03362_B",0.12
"s03363_A",0.115
"s03363_B",0.115
"s03364_A",0.12
"s03364_B",0.115
"s03365_A",0.115
"s03365_B",0.12
"s03366_A",0.115
"s03366_B",0.115
"s03367_A",0.115
"s03367_B",0.115
"s03368_A",0.125
"s03368_B",0.115
"s03369_A",0.115
"s03369_B",0.115
"s03370_A",0.12
"s03370_B",0.115
"s03371_A",0.115
"s03371_B",0.12
"s03372_A",0.115
"s03372_B",0.115
"s03373_A",0.12
"s03373_B",0.115
"s03374_A",0.125
"s03374_B",0.115
"s03375_A",0.115
"s03375_B",0.12
"s03376_A",0.12
"s03376_B",0.115
"s03377_A",0.12
"s03377_B",0.11
"s03378_A",0.115
"s03378_B",0.12
"s03379_A",0.12
"s03379_B",0.11
"s03380_A",0.115
"s03380_B",0.115
"s03381_A",0.115
"s03381_B",0.12
"s03382_A",0.11
"s03382_B",0.12
"s03383_A",0.12
"s03383_B",0.12
"s03384_A",0.115
"s03384_B",0.12
"s03385_A",0.115
"s03385_B",0.12
"s03386_A",0.115
"s03386_B",0.115
"s03387_A",0.12
"s03387_B",0.12
"s03388_A",0.115
"s03388_B",0.115
"s03389_A",0.115
"s03389_B",0.12
"s03390_A",0.115
"s03390_B",0.115
"s03391_A",0.115
"s03391_B",0.115
"s03392_A",0.115
"s03392_B",0.115
"s03393_A",0.115
"s03393_B",0.115
"s03394_A",0.115
"s03394_B",0.125
"s03395_A",0.12
"s03395_B",0.12
"s03396_A",0.115
"s03396_B",0.115
"s03397_A",0.115
"s03397_B",0.12
"s03398_A",0.115
"s03398_B",0.12
"s03399_A",0.12
"s03399_B",0.115
"s03400_A",0.115
"s03400_B",0.12
"s03401_A",0.115
"s03401_B",0.115
"s03402_A",0.115
"s03402_B",0.115
"s03403_A",0.115
"s03403_B",0.115
"s03404_A",0.115
"s03404_B",0.12
"s03405_A",0.12
"s03405_B",0.11
"s03406_A",0.12
"s03406_B",0.115
"s03407_A",0.115
"s03407_B",0.115
"s03408_A",0.115
"s03408_B",0.115
"s03409_A",0.115
"s03409_B",0.12
"s03410_A",0.115
"s03410_B",0.12
"s03411_A",0.115
"s03411_B",0.115
"s03412_A",0.115
"s03412_B",0.12
"s03413_A",0.115
"s03413_B",0.115
"s03414_A",0.115
"s03414_B",0.115
"s03415_A",0.115
"s03415_B",0.12
"s03416_A",0.11
"s03416_B",0.12
"s03417_A",0.115
"s03417_B",0.115
"s03418_A",0.125
"s03418_B",0.115
"s03419_A",0.115
"s03419_B",0.115
"s03420_A",0.115
"s03420_B",0.115
"s03421_A",0.12
"s03421_B",0.11
"s03422_A",0.115
"s03422_B",0.115
"s03423_A",0.115
"s03423_B",0.12
"s03424_A",0.12
"s03424_B",0.115
"s03425_A",0.115
"s03425_B",0.115
"s03426_A",0.11
"s03426_B",0.12
"s03427_A",0.115
"s03427_B",0.12
"s03428_A",0.115
"s03428_B",0.12
"s03429_A",0.12
"s03429_B",0.115
"s03430_A",0.115
"s03430_B",0.12
"s03431_A",0.115
"s03431_B",0.12
"s03432_A",0.12
"s03432_B",0.115
"s03433_A",0.12
"s03433_B",0.12
"s03434_A",0.12
"s03434_B",0.115
"s03435_A",0.12
"s03435_B",0.115
"s03436_A",0.115
"s03436_B",0.115
"s03437_A",0.12
"s03437_B",0.12
"s03438_A",0.115
"s03438_B",0.115
"s03439_A",0.115
"s03439_B",0.12
"s03440_A",0.115
"s03440_B",0.12
"s03441_A",0.12
"s03441_B",0.115
"s03442_A",0.115
"s03442_B",0.115
"s03443_A",0.115
"s03443_B",0.12
"s03444_A",0.12
"s03444_B",0.115
"s03445_A",0.12
"s03445_B",0.115
"s03446_A",0.125
"s03446_B",0.11
"s03447_A",0.12
"s03447_B",0.115
"s03448_A",0.115
"s03448_B",0.115
"s03449_A",0.115
"s03449_B",0.12
"s03450_A",0.115
"s03450_B",0.12
"s03451_A",0.12
"s03451_B",0.12
"s03452_A",0.115
"s03452_B",0.12
"s03453_A",0.115
"s03453_B",0.11
"s03454_A",0.115
"s03454_B",0.12
"s03455_A",0.115
"s03455_B",0.115
"s03456_A",0.12
"s03456_B",0.115
"s03457_A",0.12
"s03457_B",0.115
"s03458_A",0.115
"s03458_B",0.12
"s03459_A",0.12
"s03459_B",0.12
"s03460_A",0.12
"s03460_B",0.115
"s03461_A",0.12
"s03461_B",0.115
"s03462_A",0.12
"s03462_B",0.115
"s03463_A",0.115
"s03463_B",0.12
"s03464_A",0.115
"s03464_B",0.12
"s03465_A",0.115
"s03465_B",0.12
"s03466_A",0.115
"s03466_B",0.12
"s03467_A",0.115
"s03467_B",0.12
"s03468_A",0.12
"s03468_B",0.11
"s03469_A",0.115
"s03469_B",0.115
"s03470_A",0.115
"s03470_B",0.115
"s03471_A",0.12
"s03471_B",0.11
"s03472_A",0.115
"s03472_B",0.12
"s03473_A",0.12
"s03473_B",0.12
"s03474_A",0.12
"s03474_B",0.115
"s03475_A",0.12
"s03475_B",0.115
"s03476_A",0.115
"s03476_B",0.115
"s03477_A",0.115
"s03477_B",0.115
"s03478_A",0.115
"s03478_B",0.12
"s03479_A",0.115
"s03479_B",0.12
"s03480_A",0.115
"s03480_B",0.115
"s03481_A",0.12
"s03481_B",0.11
"s03482_A",0.12
"s03482_B",0.115
"s03483_A",0.12
"s03483_B",0.115
"s03484_A",0.12
"s03484_B",0.11
"s03485_A",0.115
"s03485_B",0.115
"s03486_A",0.115
"s03486_B",0.115
"s03487_A",0.115
"s03487_B",0.12
"s03488_A",0.115
"s03488_B",0.12
"s03489_A",0.115
"s03489_B",0.12
"s03490_A",0.115
"s03490_B",0.125
"s03491_A",0.12
"s03491_B",0.115
"s03492_A",0.115
"s03492_B",0.12
"s03493_A",0.11
"s03493_B",0.115
"s03494_A",0.115
"s03494_B",0.115
"s03495_A",0.115
"s03495_B",0.12
"s03496_A",0.115
"s03496_B",0.12
"s03497_A",0.115
"s03497_B",0.12
"s03498_A",0.115
"s03498_B",0.12
"s03499_A",0.115
"s03499_B",0.125
"s03500_A",0.12
"s03500_B",0.12
"s03501_A",0.115
"s03501_B",0.12
"s03502_A",0.115
"s03502_B",0.115
"s03503_A",0.12
"s03503_B",0.115
"s03504_A",0.11
"s03504_B",0.12
"s03505_A",0.12
"s03505_B",0.115
"s03506_A",0.12
"s03506_B",0.115
"s03507_A",0.115
"s03507_B",0.12
"s03508_A",0.12
"s03508_B",0.115
"s03509_A",0.115
"s03509_B",0.12
"s03510_A",0.11
"s03510_B",0.12
"s03511_A",0.115
"s03511_B",0.125
"s03512_A",0.115
"s03512_B",0.115
"s03513_A",0.12
"s03513_B",0.115
"s03514_A",0.12
"s03514_B",0.115
"s03515_A",0.12
"s03515_B",0.115
"s03516_A",0.115
"s03516_B",0.12
"s03517_A",0.115
"s03517_B",0.12
"s03518_A",0.115
"s03518_B",0.12
"s03519_A",0.12
"s03519_B",0.115
"s03520_A",0.12
"s03520_B",0.115
"s03521_A",0.115
"s03521_B",0.12
"s03522_A",0.115
"s03522_B",0.12
"s03523_A",0.115
"s03523_B",0.12
"s03524_A",0.115
"s03524_B",0.12
"s03525_A",0.115
"s03525_B",0.115
"s03526_A",0.115
"s03526_B",0.115
"s03527_A",0.115
"s03527_B",0.12
"s03528_A",0.115
"s03528_B",0.115
"s03529_A",0.115
"s03529_B",0.115
"s03530_A",0.12
"s03530_B",0.115
"s03531_A",0.12
"s03531_B",0.115
"s03532_A",0.12
"s03532_B",0.115
"s03533_A",0.115
"s03533_B",0.115
"s03534_A",0.115
"s03534_B",0.115
"s03535_A",0.115
"s03535_B",0.115
"s03536_A",0.115
"s03536_B",0.12
"s03537_A",0.115
"s03537_B",0.115
"s03538_A",0.115
"s03538_B",0.115
"s03539_A",0.115
"s03539_B",0.12
"s03540_A",0.12
"s03540_B",0.115
"s03541_A",0.12
"s03541_B",0.115
"s03542_A",0.115
"s03542_B",0.12
"s03543_A",0.115
"s03543_B",0.12
"s03544_A",0.12
"s03544_B",0.12
"s03545_A",0.115
"s03545_B",0.12
"s03546_A",0.115
"s03546_B",0.115
"s03547_A",0.12
"s03547_B",0.11
"s03548_A",0.115
"s03548_B",0.115
"s03549_A",0.12
"s03549_B",0.115
"s03550_A",0.11
"s03550_B",0.115
"s03551_A",0.115
"s03551_B",0.12
"s03552_A",0.115
"s03552_B",0.12
"s03553_A",0.12
"s03553_B",0.115
"s03554_A",0.115
"s03554_B",0.12
"s03555_A",0.115
"s03555_B",0.115
"s03556_A",0.115
"s03556_B",0.12
"s03557_A",0.12
"s03557_B",0.115
"s03558_A",0.12
"s03558_B",0.12
"s03559_A",0.12
"s03559_B",0.12
"s03560_A",0.12
"s03560_B",0.12
"s03561_A",0.12
"s03561_B",0.12
"s03562_A",0.115
"s03562_B",0.115
"s03563_A",0.115
"s03563_B",0.12
"s03564_A",0.12
"s03564_B",0.115
"s03565_A",0.125
"s03565_B",0.115
"s03566_A",0.115
"s03566_B",0.12
"s03567_A",0.115
"s03567_B",0.115
"s03568_A",0.11
"s03568_B",0.115
"s03569_A",0.12
"s03569_B",0.12
"s03570_A",0.12
"s03570_B",0.115
"s03571_A",0.115
"s03571_B",0.12
"s03572_A",0.115
"s03572_B",0.115
"s03573_A",0.115
"s03573_B",0.12
"s03574_A",0.11
"s03574_B",0.12
"s03575_A",0.115
"s03575_B",0.115
"s03576_A",0.115
"s03576_B",0.115
"s03577_A",0.12
"s03577_B",0.12
"s03578_A",0.115
"s03578_B",0.12
"s03579_A",0.12
"s03579_B",0.115
"s03580_A",0.12
"s03580_B",0.115
"s03581_A",0.12
"s03581_B",0.115
"s03582_A",0.12
"s03582_B",0.115
"s03583_A",0.115
"s03583_B",0.115
"s03584_A",0.115
"s03584_B",0.12
"s03585_A",0.115
"s03585_B",0.115
"s03586_A",0.115
"s03586_B",0.12
"s03587_A",0.12
"s03587_B",0.115
"s03588_A",0.12
"s03588_B",0.115
"s03589_A",0.115
"s03589_B",0.12
"s03590_A",0.12
"s03590_B",0.115
"s03591_A",0.12
"s03591_B",0.115
"s03592_A",0.115
"s03592_B",0.115
"s03593_A",0.115
"s03593_B",0.115
"s03594_A",0.115
"s03594_B",0.12
"s03595_A",0.115
"s03595_B",0.115
"s03596_A",0.12
"s03596_B",0.115
"s03597_A",0.115
"s03597_B",0.12
"s03598_A",0.115
"s03598_B",0.12
"s03599_A",0.11
"s03599_B",0.12
"s03600_A",0.12
"s03600_B",0.11
"s03601_A",0.115
"s03601_B",0.115
"s03602_A",0.115
"s03602_B",0.115
"s03603_A",0.115
"s03603_B",0.115
"s03604_A",0.115
"s03604_B",0.12
"s03605_A",0.115
"s03605_B",0.12
"s03606_A",0.12
"s03606_B",0.115
"s03607_A",0.115
"s03607_B",0.115
"s03608_A",0.12
"s03608_B",0.115
"s03609_A",0.115
"s03609_B",0.12
"s03610_A",0.12
"s03610_B",0.115
"s03611_A",0.115
"s03611_B",0.115
"s03612_A",0.12
"s03612_B",0.115
"s03613_A",0.115
"s03613_B",0.12
"s03614_A",0.115
"s03614_B",0.115
"s03615_A",0.115
"s03615_B",0.12
"s03616_A",0.11
"s03616_B",0.12
"s03617_A",0.115
"s03617_B",0.12
"s03618_A",0.115
"s03618_B",0.115
"s03619_A",0.115
"s03619_B",0.115
"s03620_A",0.12
"s03620_B",0.11
"s03621_A",0.115
"s03621_B",0.115
"s03622_A",0.115
"s03622_B",0.12
"s03623_A",0.12
"s03623_B",0.115
"s03624_A",0.11
"s03624_B",0.125
"s03625_A",0.115
"s03625_B",0.12
"s03626_A",0.115
"s03626_B",0.12
"s03627_A",0.115
"s03627_B",0.12
"s03628_A",0.115
"s03628_B",0.12
"s03629_A",0.115
"s03629_B",0.12
"s03630_A",0.12
"s03630_B",0.115
"s03631_A",0.115
"s03631_B",0.115
"s03632_A",0.115
"s03632_B",0.115
"s03633_A",0.115
"s03633_B",0.12
"s03634_A",0.115
"s03634_B",0.115
"s03635_A",0.12
"s03635_B",0.115
"s03636_A",0.115
"s03636_B",0.115
"s03637_A",0.115
"s03637_B",0.115
"s03638_A",0.12
"s03638_B",0.115
"s03639_A",0.115
"s03639_B",0.115
"s03640_A",0.115
"s03640_B",0.12
"s03641_A",0.115
"s03641_B",0.12
"s03642_A",0.115
"s03642_B",0.115
"s03643_A",0.12
"s03643_B",0.115
"s03644_A",0.11
"s03644_B",0.12
"s03645_A",0.115
"s03645_B",0.115
"s03646_A",0.115
