"split_id","peak_estimate"
"s00145_B",0.115
"s00146_A",0.115
"s00146_B",0.12
"s00147_A",0.115
"s00147_B",0.115
"s00148_A",0.12
"s00148_B",0.115
"s00149_A",0.115
"s00149_B",0.115
"s00150_A",0.12
"s00150_B",0.11
"s00151_A",0.12
"s00151_B",0.115
"s00152_A",0.115
"s00152_B",0.12
"s00153_A",0.12
"s00153_B",0.115
"s00154_A",0.115
"s00154_B",0.12
"s00155_A",0.115
"s00155_B",0.12
"s00156_A",0.12
"s00156_B",0.115
"s00157_A",0.115
"s00157_B",0.12
"s00158_A",0.12
"s00158_B",0.115
"s00159_A",0.115
"s00159_B",0.12
"s00160_A",0.12
"s00160_B",0.115
"s00161_A",0.12
"s00161_B",0.115
"s00162_A",0.115
"s00162_B",0.12
"s00163_A",0.12
"s00163_B",0.115
"s00164_A",0.12
"s00164_B",0.115
"s00165_A",0.11
"s00165_B",0.125
"s00166_A",0.11
"s00166_B",0.12
"s00167_A",0.115
"s00167_B",0.115
"s00168_A",0.115
"s00168_B",0.12
"s00169_A",0.12
"s00169_B",0.115
"s00170_A",0.115
"s00170_B",0.115
"s00171_A",0.12
"s00171_B",0.11
"s00172_A",0.12
"s00172_B",0.115
"s00173_A",0.115
"s00173_B",0.12
"s00174_A",0.115
"s00174_B",0.115
"s00175_A",0.115
"s00175_B",0.12
"s00176_A",0.115
"s00176_B",0.115
"s00177_A",0.12
"s00177_B",0.115
"s00178_A",0.115
"s00178_B",0.115
"s00179_A",0.12
"s00179_B",0.115
"s00180_A",0.11
"s00180_B",0.12
"s00181_A",0.12
"s00181_B",0.115
"s00182_A",0.12
"s00182_B",0.115
"s00183_A",0.115
"s00183_B",0.115
"s00184_A",0.115
"s00184_B",0.12
"s00185_A",0.115
"s00185_B",0.12
"s00186_A",0.115
"s00186_B",0.115
"s00187_A",0.115
"s00187_B",0.115
"s00188_A",0.115
"s00188_B",0.12
"s00189_A",0.12
"s00189_B",0.115
"s00190_A",0.12
"s00190_B",0.115
"s00191_A",0.12
"s00191_B",0.115
"s00192_A",0.115
"s00192_B",0.115
"s00193_A",0.115
"s00193_B",0.12
"s00194_A",0.115
"s00194_B",0.115
"s00195_A",0.11
"s00195_B",0.12
"s00196_A",0.115
"s00196_B",0.12
"s00197_A",0.115
"s00197_B",0.12
"s00198_A",0.125
"s00198_B",0.115
"s00199_A",0.115
"s00199_B",0.115
"s00200_A",0.115
"s00200_B",0.115
"s00201_A",0.115
"s00201_B",0.12
"s00202_A",0.12
"s00202_B",0.115
"s00203_A",0.12
"s00203_B",0.115
"s00204_A",0.12
"s00204_B",0.115
"s00205_A",0.115
"s00205_B",0.115
"s00206_A",0.115
"s00206_B",0.12
"s00207_A",0.12
"s00207_B",0.115
"s00208_A",0.115
"s00208_B",0.12
"s00209_A",0.12
"s00209_B",0.115
"s00210_A",0.115
"s00210_B",0.115
"s00211_A",0.115
"s00211_B",0.12
"s00212_A",0.12
"s00212_B",0.115
"s00213_A",0.12
"s00213_B",0.115
"s00214_A",0.125
"s00214_B",0.11
"s00215_A",0.12
"s00215_B",0.115
"s00216_A",0.12
"s00216_B",0.115
"s00217_A",0.12
"s00217_B",0.115
"s00218_A",0.12
"s00218_B",0.115
"s00219_A",0.12
"s00219_B",0.115
"s00220_A",0.115
"s00220_B",0.12
"s00221_A",0.12
"s00221_B",0.11
"s00222_A",0.115
"s00222_B",0.12
"s00223_A",0.115
"s00223_B",0.12
"s00224_A",0.115
"s00224_B",0.12
"s00225_A",0.12
"s00225_B",0.115
"s00226_A",0.12
"s00226_B",0.115
"s00227_A",0.12
"s00227_B",0.115
"s00228_A",0.12
"s00228_B",0.115
"s00229_A",0.115
"s00229_B",0.12
"s00230_A",0.115
"s00230_B",0.12
"s00231_A",0.115
"s00231_B",0.12
"s00232_A",0.115
"s00232_B",0.115
"s00233_A",0.12
"s00233_B",0.115
"s00234_A",0.12
"s00234_B",0.115
"s00235_A",0.115
"s00235_B",0.115
"s00236_A",0.115
"s00236_B",0.12
"s00237_A",0.115
"s00237_B",0.115
"s00238_A",0.115
"s00238_B",0.115
"s00239_A",0.12
"s00239_B",0.115
"s00240_A",0.12
"s00240_B",0.115
"s00241_A",0.115
"s00241_B",0.125
"s00242_A",0.115
"s00242_B",0.12
"s00243_A",0.115
"s00243_B",0.115
"s00244_A",0.12
"s00244_B",0.115
"s00245_A",0.115
"s00245_B",0.12
"s00246_A",0.12
"s00246_B",0.115
"s00247_A",0.115
"s00247_B",0.115
"s00248_A",0.115
"s00248_B",0.12
"s00249_A",0.12
"s00249_B",0.115
"s00250_A",0.115
"s00250_B",0.12
"s00251_A",0.12
"s00251_B",0.115
"s00252_A",0.115
"s00252_B",0.12
"s00253_A",0.115
"s00253_B",0.12
"s00254_A",0.12
"s00254_B",0.115
"s00255_A",0.115
"s00255_B",0.115
"s00256_A",0.12
"s00256_B",0.115
"s00257_A",0.115
"s00257_B",0.115
"s00258_A",0.115
"s00258_B",0.12
"s00259_A",0.115
"s00259_B",0.12
"s00260_A",0.115
"s00260_B",0.12
"s00261_A",0.12
"s00261_B",0.115
"s00262_A",0.11
"s00262_B",0.12
"s00263_A",0.115
"s00263_B",0.12
"s00264_A",0.11
"s00264_B",0.12
"s00265_A",0.115
"s00265_B",0.12
"s00266_A",0.115
"s00266_B",0.115
"s00267_A",0.115
"s00267_B",0.115
"s00268_A",0.115
"s00268_B",0.115
"s00269_A",0.115
"s00269_B",0.115
"s00270_A",0.12
"s00270_B",0.115
"s00271_A",0.12
"s00271_B",0.115
"s00272_A",0.11
"s00272_B",0.12
"s00273_A",0.115
"s00273_B",0.125
"s00274_A",0.115
"s00274_B",0.12
"s00275_A",0.115
"s00275_B",0.12
"s00276_A",0.115
"s00276_B",0.115
"s00277_A",0.115
"s00277_B",0.12
"s00278_A",0.12
"s00278_B",0.115
"s00279_A",0.11
"s00279_B",0.12
"s00280_A",0.115
"s00280_B",0.12
"s00281_A",0.12
"s00281_B",0.115
"s00282_A",0.12
"s00282_B",0.11
"s00283_A",0.115
"s00283_B",0.12
"s00284_A",0.115
"s00284_B",0.115
"s00285_A",0.115
"s00285_B",0.12
"s00286_A",0.115
"s00286_B",0.12
"s00287_A",0.12
"s00287_B",0.115
"s00288_A",0.12
"s00288_B",0.115
"s00289_A",0.115
"s00289_B",0.115
"s00290_A",0.115
"s00290_B",0.12
"s00291_A",0.115
"s00291_B",0.115
"s00292_A",0.12
"s00292_B",0.115
"s00293_A",0.115
"s00293_B",0.12
"s00294_A",0.12
"s00294_B",0.115
"s00295_A",0.115
"s00295_B",0.12
"s00296_A",0.12
"s00296_B",0.115
"s00297_A",0.12
"s00297_B",0.11
"s00298_A",0.12
"s00298_B",0.115
"s00299_A",0.115
"s00299_B",0.12
"s00300_A",0.115
"s00300_B",0.12
"s00301_A",0.115
"s00301_B",0.115
"s00302_A",0.12
"s00302_B",0.115
"s00303_A",0.125
"s00303_B",0.115
"s00304_A",0.115
"s00304_B",0.12
"s00305_A",0.115
"s00305_B",0.115
"s00306_A",0.12
"s00306_B",0.115
"s00307_A",0.115
"s00307_B",0.12
"s00308_A",0.115
"s00308_B",0.12
"s00309_A",0.12
"s00309_B",0.115
"s00310_A",0.12
"s00310_B",0.115
"s00311_A",0.115
"s00311_B",0.115
"s00312_A",0.115
"s00312_B",0.12
"s00313_A",0.11
"s00313_B",0.125
"s00314_A",0.125
"s00314_B",0.11
"s00315_A",0.115
"s00315_B",0.12
"s00316_A",0.115
"s00316_B",0.115
"s00317_A",0.115
"s00317_B",0.115
"s00318_A",0.12
"s00318_B",0.115
"s00319_A",0.11
"s00319_B",0.12
"s00320_A",0.115
"s00320_B",0.125
"s00321_A",0.115
"s00321_B",0.12
"s00322_A",0.12
"s00322_B",0.115
"s00323_A",0.115
"s00323_B",0.12
"s00324_A",0.115
"s00324_B",0.12
"s00325_A",0.115
"s00325_B",0.12
"s00326_A",0.125
"s00326_B",0.115
"s00327_A",0.12
"s00327_B",0.115
"s00328_A",0.12
"s00328_B",0.115
"s00329_A",0.115
"s00329_B",0.12
"s00330_A",0.115
"s00330_B",0.12
"s00331_A",0.12
"s00331_B",0.115
"s00332_A",0.12
"s00332_B",0.115
"s00333_A",0.12
"s00333_B",0.115
"s00334_A",0.115
"s00334_B",0.12
"s00335_A",0.12
"s00335_B",0.115
"s00336_A",0.115
"s00336_B",0.115
"s00337_A",0.115
"s00337_B",0.115
"s00338_A",0.115
"s00338_B",0.115
"s00339_A",0.115
"s00339_B",0.12
"s00340_A",0.12
"s00340_B",0.115
"s00341_A",0.115
"s00341_B",0.12
"s00342_A",0.115
"s00342_B",0.115
"s00343_A",0.115
"s00343_B",0.12
"s00344_A",0.125
"s00344_B",0.11
"s00345_A",0.12
"s00345_B",0.11
"s00346_A",0.115
"s00346_B",0.115
"s00347_A",0.12
"s00347_B",0.11
"s00348_A",0.115
"s00348_B",0.115
"s00349_A",0.12
"s00349_B",0.11
"s00350_A",0.115
"s00350_B",0.115
"s00351_A",0.12
"s00351_B",0.115
"s00352_A",0.12
"s00352_B",0.11
"s00353_A",0.115
"s00353_B",0.115
"s00354_A",0.115
"s00354_B",0.12
"s00355_A",0.115
"s00355_B",0.115
"s00356_A",0.12
"s00356_B",0.115
"s00357_A",0.12
"s00357_B",0.115
"s00358_A",0.12
"s00358_B",0.115
"s00359_A",0.115
"s00359_B",0.115
"s00360_A",0.115
"s00360_B",0.115
"s00361_A",0.115
"s00361_B",0.12
"s00362_A",0.12
"s00362_B",0.115
"s00363_A",0.12
"s00363_B",0.115
"s00364_A",0.115
"s00364_B",0.12
"s00365_A",0.12
"s00365_B",0.115
"s00366_A",0.12
"s00366_B",0.115
"s00367_A",0.115
"s00367_B",0.12
"s00368_A",0.12
"s00368_B",0.115
"s00369_A",0.12
"s00369_B",0.115
"s00370_A",0.12
"s00370_B",0.115
"s00371_A",0.125
"s00371_B",0.115
"s00372_A",0.115
"s00372_B",0.115
"s00373_A",0.12
"s00373_B",0.115
"s00374_A",0.115
"s00374_B",0.12
"s00375_A",0.115
"s00375_B",0.12
"s00376_A",0.12
"s00376_B",0.115
"s00377_A",0.115
"s00377_B",0.115
"s00378_A",0.115
"s00378_B",0.12
"s00379_A",0.115
"s00379_B",0.115
"s00380_A",0.115
"s00380_B",0.115
"s00381_A",0.115
"s00381_B",0.115
"s00382_A",0.12
"s00382_B",0.115
"s00383_A",0.12
"s00383_B",0.115
"s00384_A",0.115
"s00384_B",0.12
"s00385_A",0.12
"s00385_B",0.115
"s00386_A",0.12
"s00386_B",0.115
"s00387_A",0.12
"s00387_B",0.115
"s00388_A",0.115
"s00388_B",0.12
"s00389_A",0.12
"s00389_B",0.115
"s00390_A",0.115
"s00390_B",0.12
"s00391_A",0.12
"s00391_B",0.115
"s00392_A",0.115
"s00392_B",0.12
"s00393_A",0.12
"s00393_B",0.115
"s00394_A",0.115
"s00394_B",0.115
"s00395_A",0.115
"s00395_B",0.12
"s00396_A",0.12
"s00396_B",0.115
"s00397_A",0.11
"s00397_B",0.12
"s00398_A",0.115
"s00398_B",0.12
"s00399_A",0.115
"s00399_B",0.115
"s00400_A",0.115
"s00400_B",0.115
"s00401_A",0.115
"s00401_B",0.12
"s00402_A",0.115
"s00402_B",0.12
"s00403_A",0.12
"s00403_B",0.115
"s00404_A",0.11
"s00404_B",0.12
"s00405_A",0.115
"s00405_B",0.12
"s00406_A",0.115
"s00406_B",0.12
"s00407_A",0.115
"s00407_B",0.12
"s00408_A",0.12
"s00408_B",0.115
"s00409_A",0.12
"s00409_B",0.115
"s00410_A",0.115
"s00410_B",0.125
"s00411_A",0.115
"s00411_B",0.12
"s00412_A",0.12
"s00412_B",0.115
"s00413_A",0.115
"s00413_B",0.12
"s00414_A",0.115
"s00414_B",0.12
"s00415_A",0.115
"s00415_B",0.12
"s00416_A",0.115
"s00416_B",0.12
"s00417_A",0.12
"s00417_B",0.115
"s00418_A",0.115
"s00418_B",0.115
"s00419_A",0.115
"s00419_B",0.12
"s00420_A",0.11
"s00420_B",0.12
"s00421_A",0.12
"s00421_B",0.115
"s00422_A",0.11
"s00422_B",0.12
"s00423_A",0.115
"s00423_B",0.12
"s00424_A",0.12
"s00424_B",0.11
"s00425_A",0.115
"s00425_B",0.115
"s00426_A",0.115
"s00426_B",0.115
"s00427_A",0.115
"s00427_B",0.12
"s00428_A",0.115
"s00428_B",0.12
"s00429_A",0.12
"s00429_B",0.115
"s00430_A",0.12
"s00430_B",0.115
"s00431_A",0.115
"s00431_B",0.12
"s00432_A",0.115
"s00432_B",0.12
"s00433_A",0.12
"s00433_B",0.115
"s00434_A",0.12
"s00434_B",0.115
"s00435_A",0.115
"s00435_B",0.12
"s00436_A",0.11
"s00436_B",0.12
"s00437_A",0.115
"s00437_B",0.12
"s00438_A",0.12
"s00438_B",0.115
"s00439_A",0.115
"s00439_B",0.115
"s00440_A",0.12
"s00440_B",0.115
"s00441_A",0.115
"s00441_B",0.115
"s00442_A",0.115
"s00442_B",0.115
"s00443_A",0.12
"s00443_B",0.115
"s00444_A",0.115
"s00444_B",0.115
"s00445_A",0.12
"s00445_B",0.115
"s00446_A",0.115
"s00446_B",0.115
"s00447_A",0.115
"s00447_B",0.115
"s00448_A",0.115
"s00448_B",0.115
"s00449_A",0.12
"s00449_B",0.115
"s00450_A",0.115
"s00450_B",0.12
"s00451_A",0.115
"s00451_B",0.115
"s00452_A",0.115
"s00452_B",0.12
"s00453_A",0.12
"s00453_B",0.115
"s00454_A",0.12
"s00454_B",0.115
"s00455_A",0.12
"s00455_B",0.115
"s00456_A",0.12
"s00456_B",0.115
"s00457_A",0.12
"s00457_B",0.11
"s00458_A",0.12
"s00458_B",0.115
"s00459_A",0.12
"s00459_B",0.115
"s00460_A",0.115
"s00460_B",0.12
"s00461_A",0.12
"s00461_B",0.115
"s00462_A",0.12
"s00462_B",0.115
"s00463_A",0.12
"s00463_B",0.115
"s00464_A",0.115
"s00464_B",0.12
"s00465_A",0.12
"s00465_B",0.11
"s00466_A",0.12
"s00466_B",0.115
"s00467_A",0.115
"s00467_B",0.115
"s00468_A",0.115
"s00468_B",0.12
"s00469_A",0.12
"s00469_B",0.115
"s00470_A",0.115
"s00470_B",0.12
"s00471_A",0.12
"s00471_B",0.115
"s00472_A",0.12
"s00472_B",0.115
"s00473_A",0.115
"s00473_B",0.12
"s00474_A",0.115
"s00474_B",0.115
"s00475_A",0.12
"s00475_B",0.115
"s00476_A",0.12
"s00476_B",0.115
"s00477_A",0.115
"s00477_B",0.115
"s00478_A",0.115
"s00478_B",0.12
"s00479_A",0.12
"s00479_B",0.115
"s00480_A",0.115
"s00480_B",0.115
"s00481_A",0.115
"s00481_B",0.115
"s00482_A",0.125
"s00482_B",0.115
"s00483_A",0.115
"s00483_B",0.12
"s00484_A",0.12
"s00484_B",0.115
"s00485_A",0.12
"s00485_B",0.11
"s00486_A",0.115
"s00486_B",0.115
"s00487_A",0.12
"s00487_B",0.115
"s00488_A",0.115
"s00488_B",0.12
"s00489_A",0.12
"s00489_B",0.115
"s00490_A",0.12
"s00490_B",0.115
"s00491_A",0.11
"s00491_B",0.12
"s00492_A",0.12
"s00492_B",0.115
"s00493_A",0.115
"s00493_B",0.115
"s00494_A",0.115
"s00494_B",0.12
"s00495_A",0.12
"s00495_B",0.115
"s00496_A",0.12
"s00496_B",0.115
"s00497_A",0.11
"s00497_B",0.12
"s00498_A",0.12
"s00498_B",0.11
"s00499_A",0.12
"s00499_B",0.115
"s00500_A",0.12
"s00500_B",0.115
"s00501_A",0.12
"s00501_B",0.115
"s00502_A",0.115
"s00502_B",0.115
"s00503_A",0.12
"s00503_B",0.115
"s00504_A",0.12
"s00504_B",0.115
"s00505_A",0.12
"s00505_B",0.115
"s00506_A",0.115
"s00506_B",0.115
"s00507_A",0.12
"s00507_B",0.115
"s00508_A",0.115
"s00508_B",0.12
"s00509_A",0.115
"s00509_B",0.115
"s00510_A",0.115
"s00510_B",0.12
"s00511_A",0.12
"s00511_B",0.115
"s00512_A",0.115
"s00512_B",0.12
"s00513_A",0.12
"s00513_B",0.115
"s00514_A",0.12
"s00514_B",0.115
"s00515_A",0.115
"s00515_B",0.115
"s00516_A",0.115
"s00516_B",0.115
"s00517_A",0.115
"s00517_B",0.12
"s00518_A",0.115
"s00518_B",0.12
"s00519_A",0.12
"s00519_B",0.115
"s00520_A",0.115
"s00520_B",0.12
"s00521_A",0.12
"s00521_B",0.115
"s00522_A",0.11
"s00522_B",0.12
"s00523_A",0.12
"s00523_B",0.115
"s00524_A",0.12
"s00524_B",0.115
"s00525_A",0.12
"s00525_B",0.115
"s00526_A",0.12
"s00526_B",0.115
"s00527_A",0.12
"s00527_B",0.115
"s00528_A",0.115
"s00528_B",0.12
"s00529_A",0.115
"s00529_B",0.115
"s00530_A",0.12
"s00530_B",0.115
"s00531_A",0.12
"s00531_B",0.115
"s00532_A",0.115
"s00532_B",0.12
"s00533_A",0.12
"s00533_B",0.115
"s00534_A",0.12
"s00534_B",0.115
"s00535_A",0.115
"s00535_B",0.115
"s00536_A",0.115
"s00536_B",0.115
"s00537_A",0.115
"s00537_B",0.115
"s00538_A",0.12
"s00538_B",0.115
"s00539_A",0.115
"s00539_B",0.115
"s00540_A",0.115
"s00540_B",0.12
"s00541_A",0.115
"s00541_B",0.12
"s00542_A",0.115
"s00542_B",0.12
"s00543_A",0.12
"s00543_B",0.115
"s00544_A",0.12
"s00544_B",0.115
"s00545_A",0.12
"s00545_B",0.115
"s00546_A",0.115
"s00546_B",0.12
"s00547_A",0.12
"s00547_B",0.115
"s00548_A",0.12
"s00548_B",0.115
"s00549_A",0.115
"s00549_B",0.12
"s00550_A",0.115
"s00550_B",0.115
"s00551_A",0.12
"s00551_B",0.11
"s00552_A",0.115
"s00552_B",0.115
"s00553_A",0.115
"s00553_B",0.115
"s00554_A",0.12
"s00554_B",0.115
"s00555_A",0.12
"s00555_B",0.115
"s00556_A",0.115
"s00556_B",0.115
"s00557_A",0.115
"s00557_B",0.12
"s00558_A",0.12
"s00558_B",0.115
"s00559_A",0.12
"s00559_B",0.115
"s00560_A",0.12
"s00560_B",0.115
"s00561_A",0.115
"s00561_B",0.12
"s00562_A",0.115
"s00562_B",0.125
"s00563_A",0.115
"s00563_B",0.12
"s00564_A",0.115
"s00564_B",0.12
"s00565_A",0.12
"s00565_B",0.115
"s00566_A",0.115
"s00566_B",0.12
"s00567_A",0.12
"s00567_B",0.115
"s00568_A",0.115
"s00568_B",0.12
"s00569_A",0.115
"s00569_B",0.12
"s00570_A",0.115
"s00570_B",0.12
"s00571_A",0.115
"s00571_B",0.12
"s00572_A",0.12
"s00572_B",0.11
"s00573_A",0.11
"s00573_B",0.12
"s00574_A",0.12
"s00574_B",0.115
"s00575_A",0.115
"s00575_B",0.115
"s00576_A",0.115
"s00576_B",0.115
"s00577_A",0.115
"s00577_B",0.12
"s00578_A",0.115
"s00578_B",0.115
"s00579_A",0.12
"s00579_B",0.115
"s00580_A",0.115
"s00580_B",0.12
"s00581_A",0.115
"s00581_B",0.12
"s00582_A",0.115
"s00582_B",0.12
"s00583_A",0.115
"s00583_B",0.115
"s00584_A",0.115
"s00584_B",0.115
"s00585_A",0.11
"s00585_B",0.12
"s00586_A",0.12
"s00586_B",0.115
"s00587_A",0.115
"s00587_B",0.12
"s00588_A",0.12
"s00588_B",0.115
"s00589_A",0.115
"s00589_B",0.12
"s00590_A",0.115
"s00590_B",0.115
"s00591_A",0.115
"s00591_B",0.115
"s00592_A",0.115
"s00592_B",0.12
"s00593_A",0.115
"s00593_B",0.115
"s00594_A",0.12
"s00594_B",0.115
"s00595_A",0.115
"s00595_B",0.12
"s00596_A",0.12
"s00596_B",0.115
"s00597_A",0.12
"s00597_B",0.115
"s00598_A",0.12
"s00598_B",0.115
"s00599_A",0.115
"s00599_B",0.12
"s00600_A",0.115
"s00600_B",0.115
"s00601_A",0.12
"s00601_B",0.115
"s00602_A",0.125
"s00602_B",0.115
"s00603_A",0.115
"s00603_B",0.115
"s00604_A",0.115
"s00604_B",0.115
"s00605_A",0.115
"s00605_B",0.12
"s00606_A",0.115
"s00606_B",0.12
"s00607_A",0.115
"s00607_B",0.115
"s00608_A",0.115
"s00608_B",0.12
"s00609_A",0.115
"s00609_B",0.12
"s00610_A",0.115
"s00610_B",0.12
"s00611_A",0.11
"s00611_B",0.125
"s00612_A",0.115
"s00612_B",0.115
"s00613_A",0.12
"s00613_B",0.115
"s00614_A",0.115
"s00614_B",0.12
"s00615_A",0.115
"s00615_B",0.12
"s00616_A",0.12
"s00616_B",0.115
"s00617_A",0.115
"s00617_B",0.115
"s00618_A",0.115
"s00618_B",0.115
"s00619_A",0.12
"s00619_B",0.11
"s00620_A",0.115
"s00620_B",0.115
"s00621_A",0.115
"s00621_B",0.12
"s00622_A",0.115
"s00622_B",0.115
"s00623_A",0.12
"s00623_B",0.115
"s00624_A",0.12
"s00624_B",0.115
"s00625_A",0.12
"s00625_B",0.115
"s00626_A",0.115
"s00626_B",0.12
"s00627_A",0.12
"s00627_B",0.115
"s00628_A",0.12
"s00628_B",0.115
"s00629_A",0.115
"s00629_B",0.115
"s00630_A",0.115
"s00630_B",0.115
"s00631_A",0.115
"s00631_B",0.115
"s00632_A",0.12
"s00632_B",0.115
"s00633_A",0.115
"s00633_B",0.115
"s00634_A",0.115
"s00634_B",0.12
"s00635_A",0.115
